,MAF,STAT1,KLF10,FOXO4,ZNF831,IRF7,ZNF182,YBX3,ZNF527,MEF2C,ZNF564,PBX4,HLX,SOX4,ZNF34,KLF4,ZNF283,MXI1,MAFF,MAFB,AEBP1,HLX,EGR3,KLF4,ZNF331,ZNF683,XBP1,BCL11B,FOSB,YBX3,FOS,NR4A2,HES4,ZNF10,PBX1,NRL,ZBTB18,FOXO4,CASZ1,IRF8,ZNF34,ZNF784,ZNF10,KLF5,ZNF778,ZNF778,ZNF597,HIC1,TRPS1,MAFF
0,0.05079037,0.06537169,0.20244843,0.24749044,0.15618387,0.13949111,0.10214859,0.10645613,0.07777786,0.17724594,0.097454965,0.098731816,0.13196295,0.13826528,0.21892679,0.09356567,0.13518015,0.17359683,0.15696183,0.14224121,0.32309252,0.10771367,0.22178283,0.07250616,0.36957055,0.1018078,0.05789107,0.115340024,0.095478386,0.094091654,0.104907095,0.37633103,0.106420875,0.14301491,0.14089975,0.43278232,0.16278338,0.11511433,0.10621008,0.21861845,0.13753358,0.14051753,0.15141442,0.073960066,0.10147822,0.08726677,0.09151748,0.13126972,0.14254782,0.14734265
1,0.19438216,0.21078718,0.40116754,0.34558007,0.31877697,0.27111578,0.2587211,0.25904062,0.2184625,0.31305474,0.24117383,0.22717491,0.25614086,0.29928055,0.31633997,0.21736419,0.28781697,0.29302335,0.30263674,0.27226567,0.3908164,0.24707633,0.3647349,0.17656124,0.4515069,0.24551654,0.16895086,0.27017093,0.25889423,0.21130711,0.22559628,0.39315313,0.2219117,0.26735574,0.31412315,0.4696333,0.29049593,0.2215333,0.27192047,0.32261467,0.24805894,0.27242514,0.30975413,0.19564965,0.2606215,0.19374198,0.24781814,0.28123936,0.24578801,0.29874894
2,0.016901195,0.020691335,0.119155765,0.13888207,0.058739126,0.072980136,0.036248565,0.027810872,0.019355476,0.09963235,0.041890264,0.025306404,0.051311642,0.048182964,0.15652683,0.0389764,0.04145357,0.057555586,0.107691586,0.08238092,0.18373486,0.03873825,0.13561407,0.02437824,0.23247826,0.046432465,0.02330938,0.051350415,0.031721145,0.026376724,0.03805375,0.34898633,0.01929295,0.03711465,0.08359277,0.42283016,0.047399253,0.03926325,0.044009894,0.14666453,0.041850656,0.1261082,0.0524911,0.011664331,0.034669757,0.030869454,0.039603055,0.038428575,0.06781691,0.05120772
3,0.087008476,0.11375806,0.23752683,0.2838084,0.19765887,0.18471733,0.14638352,0.13024965,0.11331144,0.21631855,0.11497247,0.12620074,0.15517938,0.18623546,0.25104946,0.14307204,0.18675783,0.22294095,0.1996496,0.1895012,0.30938745,0.13905364,0.29310572,0.1028316,0.34390867,0.14194676,0.09579396,0.18464965,0.14882079,0.14918885,0.15194109,0.4164604,0.1474173,0.15975383,0.202979,0.4750751,0.17839241,0.14823717,0.15172341,0.25371376,0.19204912,0.16406325,0.19351658,0.10293725,0.13601312,0.12027797,0.15704826,0.17766395,0.16974449,0.17575392
4,0.04209131,0.03990802,0.15986118,0.22784755,0.124236256,0.09632373,0.08226949,0.072672755,0.05244285,0.122214824,0.043704808,0.052409947,0.09352192,0.11472568,0.24176592,0.071858466,0.11988148,0.13716662,0.14538255,0.125025,0.26193818,0.06371558,0.25836006,0.0500395,0.24974602,0.06616518,0.036635607,0.14291051,0.07086924,0.06823483,0.0930413,0.45851064,0.06394416,0.100554824,0.120491564,0.5087841,0.10771245,0.07595372,0.09591928,0.23483062,0.12110236,0.08127257,0.119105995,0.045555115,0.07193333,0.062312484,0.07758841,0.08866441,0.0976176,0.11139661
5,0.06171009,0.08103761,0.21385217,0.27468178,0.15974218,0.14797035,0.11594543,0.10300508,0.07852605,0.1814565,0.085793525,0.097736,0.12691411,0.15926969,0.22756192,0.10952732,0.15891272,0.19834414,0.17540893,0.15550116,0.3031273,0.10238832,0.24790183,0.07984233,0.33619902,0.115804255,0.06936696,0.13586673,0.11778614,0.1104832,0.12029046,0.415002,0.120321095,0.12776679,0.17275974,0.46713996,0.1568158,0.121289045,0.12475878,0.23495391,0.16275737,0.12926397,0.17080167,0.077739,0.111725956,0.090551615,0.11214298,0.14298904,0.13751581,0.15027624
6,0.054115593,0.05322969,0.14851096,0.25827363,0.12063131,0.15746444,0.10917464,0.09173715,0.07140815,0.16170329,0.089420915,0.0590111,0.12122816,0.13076347,0.20570034,0.07967776,0.09904823,0.18546784,0.15616956,0.13532007,0.31134045,0.13784611,0.21938646,0.05745229,0.3030247,0.08664161,0.044030964,0.12579757,0.09768644,0.07953578,0.11992574,0.40227136,0.083179,0.12788823,0.14155054,0.47440207,0.11100605,0.13220882,0.13498649,0.24833027,0.15487313,0.12291309,0.14430767,0.057839274,0.07777783,0.079371125,0.08685443,0.1604299,0.1555812,0.13085347
7,0.11319339,0.12897441,0.25103763,0.31023544,0.2214495,0.20664713,0.16877013,0.15579396,0.14219618,0.245532,0.15325269,0.15227327,0.18549564,0.22526917,0.273548,0.17004302,0.21112299,0.23517123,0.22930309,0.21063527,0.3471396,0.16691834,0.3004406,0.13910455,0.37537473,0.16577765,0.117839396,0.20515728,0.17337334,0.16811812,0.18239805,0.4034605,0.17180252,0.19494545,0.23310578,0.4742024,0.21091464,0.18371734,0.17186049,0.2880902,0.21624869,0.19632393,0.22144702,0.13625151,0.16323423,0.13851795,0.17119479,0.19718355,0.21003145,0.20574558
8,0.16697693,0.19202796,0.2931576,0.34087712,0.27311942,0.26881644,0.22869739,0.19719198,0.19410422,0.29099983,0.19953787,0.2122727,0.23237589,0.27160203,0.3255455,0.2108311,0.25498855,0.29403478,0.2753862,0.2585492,0.36473164,0.2112999,0.3461421,0.19454297,0.3777175,0.21537042,0.17487916,0.27058238,0.22517946,0.2124407,0.24580827,0.42889836,0.22269157,0.25029397,0.2704116,0.48089018,0.25504905,0.23058918,0.23288563,0.341052,0.27816463,0.25348425,0.2828561,0.18925217,0.21761483,0.20992011,0.23030013,0.2448931,0.2521382,0.26441342
9,0.33159417,0.34332004,0.3993027,0.42288047,0.38672602,0.38857695,0.37028915,0.3321698,0.3391317,0.38848382,0.3524687,0.3354998,0.3474068,0.38696095,0.41067377,0.362888,0.3677978,0.3877372,0.38484055,0.39816377,0.42907307,0.35956788,0.41781783,0.33461064,0.4439718,0.35975254,0.34319377,0.39942718,0.35173044,0.35870287,0.37462586,0.4720545,0.35364068,0.37183475,0.39376512,0.47945756,0.37656617,0.36294842,0.35267466,0.43492964,0.38742548,0.39741182,0.3769419,0.33128077,0.35335413,0.34946322,0.37095344,0.36439502,0.3921401,0.3943051
10,0.07422432,0.094418764,0.21972325,0.2696447,0.17057788,0.16417715,0.12660816,0.10751724,0.099656284,0.19519708,0.107806325,0.10672513,0.1457687,0.18017113,0.23821184,0.12021077,0.16754746,0.20861396,0.18935448,0.16949949,0.30620214,0.116087705,0.26143056,0.09360108,0.33685192,0.1169014,0.07924506,0.16207495,0.14419675,0.120146394,0.13788703,0.39932412,0.13384214,0.14692506,0.18776456,0.45764363,0.16183698,0.13370967,0.13993075,0.2648734,0.17647207,0.15432352,0.18142927,0.088360995,0.1286465,0.10982761,0.13232213,0.14808229,0.15979949,0.15975958
11,0.2089405,0.21848899,0.33306915,0.3731553,0.30706486,0.29305512,0.2570758,0.22443238,0.21136346,0.3000984,0.21758544,0.2356394,0.2449787,0.29076493,0.34721965,0.23774284,0.28852487,0.31613582,0.31880262,0.29104882,0.3752825,0.22972181,0.36158043,0.20351318,0.39431527,0.2501878,0.2022264,0.2924892,0.25181603,0.24120748,0.27434668,0.45445997,0.24367031,0.26014566,0.2956698,0.5077887,0.28125042,0.26556152,0.2579553,0.35195848,0.31038737,0.26872063,0.29884523,0.19995168,0.24245179,0.23274171,0.26653594,0.2654972,0.27711162,0.29340893
12,0.18473554,0.21358672,0.32832652,0.36789787,0.27870727,0.2917805,0.234848,0.23863253,0.23075375,0.31644022,0.23463768,0.22467002,0.2669564,0.2860967,0.32296085,0.2413522,0.2888952,0.2928102,0.31703168,0.27700788,0.39472395,0.23263925,0.3526783,0.21034595,0.399166,0.2326954,0.19214535,0.27404287,0.26055372,0.24135828,0.25021958,0.4351491,0.246744,0.2661898,0.32157856,0.47195387,0.27946663,0.25942513,0.2664908,0.3570119,0.2798637,0.27194148,0.28627932,0.21094173,0.24782753,0.22430915,0.23634061,0.25746965,0.2780963,0.27508968
13,0.0067489147,0.008943319,0.07946205,0.08266941,0.031282067,0.043735206,0.01790613,0.015266687,0.010139644,0.06714168,0.012855887,0.01297918,0.034541428,0.026010603,0.11839002,0.01724112,0.026876539,0.036720216,0.0632745,0.04347971,0.13197908,0.01646477,0.119951844,0.0097045,0.16849715,0.016934067,0.007982284,0.03873834,0.019498229,0.012790024,0.021524608,0.39083746,0.010455042,0.023952484,0.0458,0.4086674,0.026671112,0.017267436,0.026009709,0.09570798,0.025577635,0.05860105,0.02440229,0.0055003166,0.015150845,0.01537627,0.017551601,0.020282537,0.028691083,0.027552187
14,0.06174317,0.087074876,0.21871671,0.26161018,0.16816658,0.15899923,0.12180036,0.106289,0.08137488,0.19170308,0.08769658,0.10736284,0.13119057,0.16271856,0.22769943,0.11931759,0.15540585,0.19319823,0.17418861,0.16068846,0.29842496,0.11202043,0.2646096,0.08207643,0.3501528,0.12882495,0.07208067,0.15032265,0.111062706,0.118821084,0.1261352,0.42096555,0.123497725,0.12520087,0.18147609,0.4702076,0.15814984,0.12107161,0.13038152,0.22198793,0.15994012,0.13128853,0.16249165,0.08181971,0.10419881,0.085993886,0.11734864,0.14690828,0.14074591,0.15071934
15,0.1631541,0.19290406,0.30522537,0.3310005,0.26262015,0.26191124,0.23749831,0.21684796,0.19677147,0.28930166,0.2123397,0.21106836,0.22730333,0.26516646,0.3236595,0.23218745,0.25197557,0.28655896,0.27714628,0.26466632,0.37229723,0.22708577,0.3327459,0.1794653,0.41133314,0.24457705,0.1840848,0.24978659,0.21636736,0.2285864,0.23808521,0.4436739,0.22824484,0.23877588,0.27854532,0.4689634,0.2738157,0.22932115,0.23721212,0.3310496,0.2677982,0.26640433,0.2560264,0.19980565,0.20570898,0.20176968,0.21977285,0.2548942,0.26668698,0.27322274
16,0.095567435,0.113381535,0.2513727,0.30251133,0.21164834,0.18889388,0.15348038,0.13741565,0.12156826,0.23521715,0.12900579,0.13810399,0.17577672,0.20869943,0.25575352,0.14250344,0.19873333,0.22134417,0.21873981,0.18874091,0.3363112,0.1408284,0.29046315,0.12005475,0.36345458,0.14636034,0.1001561,0.18590865,0.1607976,0.14179853,0.16216233,0.39660624,0.15436953,0.17072627,0.22161424,0.46937922,0.19611844,0.1596767,0.164949,0.2815746,0.20538393,0.16629633,0.21478161,0.11755374,0.14799675,0.12241995,0.1511086,0.17535093,0.18170446,0.19450057
17,0.17172456,0.19938153,0.32042092,0.335406,0.28867698,0.27535713,0.23612443,0.20869818,0.18920857,0.29094607,0.19489211,0.21499988,0.22537005,0.26376057,0.32149082,0.22409815,0.2638563,0.28200155,0.2851919,0.2644199,0.36638397,0.22388354,0.34678513,0.18271059,0.4028919,0.2407336,0.1789479,0.27250588,0.22201571,0.22919306,0.2441507,0.45313105,0.22221413,0.23531726,0.29263142,0.4947645,0.2624889,0.2286318,0.24646035,0.32037666,0.27854466,0.24832606,0.26284397,0.18548787,0.20821121,0.20337847,0.23294222,0.25137174,0.25664157,0.26877248
18,0.07653436,0.09870979,0.22248715,0.2899683,0.18728074,0.16950712,0.13876048,0.117289424,0.09477383,0.20094436,0.09443307,0.12098941,0.14627153,0.17213061,0.24602252,0.12692696,0.1675683,0.20386666,0.18664289,0.17354423,0.30855012,0.12057462,0.27886873,0.091178775,0.34883583,0.1324825,0.0830729,0.17106429,0.13141432,0.127381,0.13226801,0.4330157,0.12556449,0.14071077,0.18735003,0.4672385,0.16589642,0.13903436,0.1390697,0.2515803,0.18754008,0.13536143,0.1854203,0.09597793,0.12175003,0.10544464,0.13220498,0.15798977,0.15092301,0.16592312
19,0.035515428,0.056822836,0.18978491,0.21076825,0.11710554,0.12010014,0.08537209,0.07246873,0.05360329,0.14607081,0.05958575,0.06907803,0.09854752,0.12954715,0.17878172,0.07411063,0.111338705,0.16451451,0.13785759,0.11229181,0.26228905,0.068776906,0.21905777,0.048683286,0.32504636,0.08084056,0.0398196,0.0989123,0.088468164,0.07337913,0.083360136,0.38502103,0.08679736,0.088656306,0.14162931,0.4547763,0.11572158,0.081175834,0.104064316,0.19224563,0.12052211,0.095781684,0.12559211,0.04740575,0.07550752,0.058345526,0.07539892,0.10143858,0.09864622,0.114201486
