,MAF,STAT1,KLF10,FOXO4,ZNF831,IRF7,ZNF182,YBX3,ZNF527,MEF2C,ZNF564,PBX4,HLX,SOX4,ZNF34,KLF4,ZNF283,MXI1,MAFF,MAFB,AEBP1,HLX,EGR3,KLF4,ZNF331,ZNF683,XBP1,BCL11B,FOSB,YBX3,FOS,NR4A2,HES4,ZNF10,PBX1,NRL,ZBTB18,FOXO4,CASZ1,IRF8,ZNF34,ZNF784,ZNF10,KLF5,ZNF778,ZNF778,ZNF597,HIC1,TRPS1,MAFF
0,0.037499875,0.015071183,0.042343944,0.037696898,0.029661953,0.023683488,0.02320382,0.017017514,0.029864877,0.019962579,0.029900312,0.030125111,0.027822167,0.02161473,0.019483507,0.024507403,0.026604146,0.02650404,0.0570527,0.019411743,0.023849338,0.035265,0.03926027,0.032941967,0.04917738,0.019275695,0.020091683,0.029355139,0.032847047,0.018081218,0.025503606,0.037410796,0.027053088,0.03106454,0.035688728,0.07520363,0.028144687,0.024217218,0.021471083,0.025332898,0.020109326,0.022940516,0.039243102,0.03659299,0.028418422,0.028925627,0.020782799,0.04133722,0.053346246,0.05965337
1,0.034182817,0.0133781135,0.038799405,0.03442204,0.026890129,0.021320552,0.020860076,0.015141487,0.02707544,0.0178594,0.027136564,0.027299672,0.025201142,0.019394249,0.01744777,0.022105813,0.024006218,0.02393949,0.052555233,0.0173679,0.021475106,0.03220746,0.03589362,0.03004241,0.04518625,0.01720962,0.01800993,0.026549041,0.029887944,0.016126782,0.022964835,0.03409633,0.024434745,0.028210938,0.032578886,0.06939128,0.025460035,0.021819115,0.019281626,0.022810876,0.017983556,0.0206725,0.035850912,0.033400327,0.025680631,0.026203454,0.018649697,0.03791678,0.04931876,0.054914862
2,0.062324107,0.029024035,0.06835744,0.061901867,0.050512552,0.042310417,0.04157436,0.031998128,0.05087903,0.036548793,0.051187396,0.05133009,0.047795504,0.038899004,0.035839677,0.043251485,0.046260566,0.045928836,0.08881992,0.03561151,0.042226017,0.058364928,0.06362572,0.055215895,0.07677618,0.03538561,0.03673947,0.050516605,0.055253863,0.033489108,0.044761837,0.061380506,0.046818912,0.0527308,0.058778107,0.109490246,0.048275113,0.042724192,0.038766414,0.04450649,0.036622703,0.041108817,0.06371716,0.060119808,0.04882276,0.04949656,0.037769258,0.066360265,0.08206108,0.092446
3,0.012246698,0.0035990477,0.014706403,0.012585193,0.00917086,0.0066477656,0.0064616203,0.0042656064,0.0092101395,0.005302906,0.009179592,0.009279847,0.008453339,0.005937308,0.0051418543,0.0070441365,0.007865667,0.007887423,0.021529615,0.0051374435,0.0067929626,0.0116460025,0.013436109,0.010593802,0.01813081,0.005073637,0.0053667426,0.008860171,0.010453165,0.0046744943,0.0073873997,0.012496471,0.008073121,0.009686917,0.01186049,0.032030404,0.008562028,0.00693959,0.005888313,0.0073225796,0.0053766966,0.006402135,0.013395548,0.012197375,0.008605689,0.0088633895,0.0056118667,0.014481157,0.020447314,0.022782743
4,0.020122468,0.0067875087,0.023528397,0.020489305,0.015441388,0.011673331,0.011389196,0.007872254,0.015528113,0.009540707,0.015498102,0.015656203,0.014339089,0.010531485,0.00927642,0.012246758,0.013501793,0.013506442,0.03316909,0.0092616975,0.011857748,0.019046843,0.02164197,0.017531335,0.028287321,0.0091686845,0.00963375,0.015077412,0.017377645,0.008514315,0.012795538,0.020342141,0.013807863,0.016248643,0.01935181,0.046804518,0.014518529,0.012078911,0.010448486,0.0127002895,0.00965023,0.011276752,0.021593004,0.019874066,0.014624745,0.01498282,0.010026723,0.023087889,0.03133601,0.03490469
5,0.03597352,0.014185518,0.040655464,0.03607461,0.028279215,0.02251485,0.02205056,0.016095012,0.028448135,0.018927306,0.028497934,0.028692454,0.026494563,0.020478904,0.018452674,0.023274392,0.025357068,0.025226653,0.05564344,0.018384129,0.022643775,0.033744782,0.0376333,0.03142056,0.047238916,0.018274844,0.019023597,0.028004587,0.031362534,0.017117947,0.024324566,0.035906315,0.025773793,0.029628307,0.034116834,0.07423049,0.026815593,0.0229972,0.02037844,0.024113,0.01906398,0.021713167,0.037649155,0.034989774,0.02710998,0.027580798,0.019676536,0.03959143,0.051301092,0.05844322
6,0.02653277,0.009657264,0.030534685,0.026857257,0.020617127,0.01597473,0.01561597,0.011072814,0.020754784,0.013231665,0.020736396,0.020928293,0.019231707,0.014479846,0.012883097,0.016648382,0.018232971,0.018205792,0.042286754,0.012847185,0.016157717,0.025040448,0.028178096,0.023191333,0.036174297,0.012745887,0.013342589,0.0202685,0.023040473,0.011882842,0.01737541,0.02667293,0.018598586,0.021658331,0.025390208,0.05787173,0.019464701,0.016432196,0.0143763125,0.0172472,0.013358712,0.015443653,0.02815175,0.026057094,0.019632101,0.020051807,0.013840437,0.029896438,0.03969091,0.044409484
7,0.031081557,0.01185444,0.03547296,0.03139484,0.024359971,0.019144148,0.018731773,0.013483793,0.02454719,0.015977234,0.024555087,0.02474159,0.022786349,0.017417848,0.015578896,0.019895643,0.021679312,0.021639198,0.048377424,0.015528262,0.019336998,0.029331416,0.032777578,0.027291864,0.041644484,0.015401036,0.016121179,0.024014503,0.027133733,0.0144069195,0.020700544,0.031125844,0.02208811,0.02558294,0.02970326,0.06469551,0.023059636,0.019644737,0.017286718,0.020578444,0.016114086,0.018559664,0.03277555,0.03047058,0.023261458,0.023733228,0.016686082,0.0347223,0.045496106,0.050617963
8,0.04429552,0.018680125,0.049562484,0.044357806,0.035320908,0.028645933,0.028085053,0.020913064,0.035550267,0.024332166,0.035663456,0.035874873,0.033229142,0.026189983,0.023793817,0.029527634,0.031879753,0.031733006,0.0659278,0.023687363,0.028750122,0.041600764,0.0460234,0.0390324,0.05688551,0.023500562,0.024478495,0.035060465,0.038967222,0.022120297,0.030647337,0.04399535,0.032376498,0.036943108,0.042042375,0.08490229,0.033573538,0.029157192,0.026060015,0.030454874,0.024460644,0.027779222,0.045986056,0.043055028,0.033919662,0.03450021,0.025290996,0.048289865,0.061460584,0.068789184
9,0.17236981,0.08396667,0.16715229,0.14744341,0.1259081,0.121205986,0.11914304,0.10039064,0.12571353,0.10659951,0.1308167,0.12531757,0.119235694,0.10351753,0.10249108,0.11191937,0.12802726,0.11797172,0.30368173,0.099476546,0.11120498,0.14490163,0.14932138,0.13007542,0.16725677,0.10647845,0.10247731,0.13780144,0.13546112,0.098600656,0.13456568,0.16162917,0.123493224,0.13196117,0.13620642,0.4049798,0.12298238,0.11369845,0.109523594,0.12339705,0.10488063,0.10241613,0.15952805,0.1411165,0.12967679,0.1257233,0.100188434,0.14615738,0.16929507,0.35227126
10,0.045946658,0.01946184,0.051213562,0.04583785,0.036574513,0.02977854,0.029204667,0.021816969,0.03681448,0.025326967,0.036940813,0.037137628,0.034410566,0.027199805,0.024754822,0.030618966,0.033100218,0.032882214,0.06864241,0.024623066,0.029833704,0.04303369,0.04752204,0.040337086,0.058635056,0.02448991,0.025449634,0.03639558,0.040305078,0.023028404,0.03189087,0.045570433,0.033568293,0.03825155,0.0434182,0.08856839,0.03479299,0.03025952,0.027088702,0.031635612,0.02545029,0.028794646,0.047570676,0.044490486,0.035179585,0.03572613,0.026251942,0.0497877,0.06320563,0.07187283
11,0.04239136,0.017700613,0.047564536,0.042562515,0.033778876,0.027284235,0.026751697,0.019855112,0.034047753,0.023137152,0.03409478,0.034344196,0.031755924,0.024977088,0.02260235,0.02816856,0.030447334,0.030346751,0.06328043,0.022530228,0.027440876,0.039885104,0.044166833,0.037396878,0.054882765,0.022361308,0.023302525,0.033513397,0.037303895,0.021038562,0.029236525,0.042224944,0.030945897,0.03536582,0.04034525,0.08190137,0.032120854,0.027828187,0.02480954,0.029092103,0.02329433,0.026492834,0.044163644,0.04133573,0.03245485,0.03301111,0.024058998,0.046436638,0.059280127,0.06597248
12,0.2014561,0.100085825,0.1927956,0.1702343,0.14596516,0.14371619,0.14174932,0.119867176,0.1455822,0.12728122,0.1534037,0.14440075,0.13852385,0.12175882,0.12281197,0.13141936,0.149607,0.13663256,0.3551478,0.11787334,0.1305624,0.16870943,0.16883352,0.15180841,0.188209,0.12624761,0.12257776,0.16059688,0.15718171,0.11637002,0.15794477,0.18580002,0.14345556,0.15350327,0.15739036,0.44136548,0.14304984,0.13205433,0.1300827,0.14452028,0.123125285,0.121081024,0.18274093,0.16245285,0.15062755,0.14579907,0.11784956,0.16577679,0.19182745,0.41770124
13,0.033685923,0.013133794,0.03827867,0.033932805,0.026497304,0.020964414,0.020522416,0.014884591,0.026680619,0.017560989,0.026716053,0.026905805,0.02481091,0.01908341,0.017149031,0.021746397,0.02364394,0.023582727,0.051882207,0.01708138,0.02113226,0.031734705,0.035400033,0.029578239,0.04467711,0.016938627,0.01770389,0.0261496,0.029430062,0.015856743,0.022615224,0.0336484,0.024066538,0.02778855,0.032120913,0.06883827,0.025099754,0.021474153,0.018958688,0.022468835,0.017694712,0.020329177,0.035377264,0.03294298,0.025318027,0.025822878,0.018324584,0.03740257,0.04869792,0.05426359
14,0.05149883,0.02269712,0.057112783,0.051399946,0.04137954,0.034022123,0.033402234,0.025258124,0.041686505,0.0291273,0.04181367,0.042060167,0.039018035,0.031220227,0.02849418,0.034951508,0.03760934,0.037400216,0.07520214,0.028372228,0.03409201,0.048306942,0.053135157,0.045464814,0.065066546,0.028201729,0.029287606,0.041234463,0.045456856,0.026602924,0.036267042,0.05104232,0.038142443,0.04323727,0.048765123,0.09547523,0.0394499,0.03454089,0.031056464,0.03605947,0.029275686,0.03301567,0.053156048,0.049925864,0.039897352,0.040486544,0.030180097,0.055593014,0.069815785,0.078350335
15,0.04420632,0.018595338,0.049437463,0.044231236,0.035205215,0.02855432,0.027997226,0.02083382,0.035441488,0.024245769,0.035556197,0.035754204,0.033115387,0.026089847,0.023710012,0.029418826,0.031776488,0.031613827,0.065947354,0.0235883,0.028645605,0.041498363,0.0458737,0.038914382,0.056737393,0.023421496,0.02439037,0.034960747,0.038838655,0.022026092,0.030559361,0.043883324,0.032258004,0.036833882,0.041913062,0.0849233,0.033465296,0.02905187,0.025966436,0.030352801,0.024366766,0.027678013,0.04586914,0.04293418,0.03380981,0.03437966,0.025182396,0.048149467,0.06130609,0.06888917
16,0.03385821,0.013207644,0.03844422,0.03409064,0.026615351,0.02108866,0.020633012,0.014956325,0.02679652,0.01765734,0.026845634,0.027020723,0.024934381,0.01917094,0.017245233,0.021864265,0.02374962,0.023684442,0.052188665,0.017169774,0.02123633,0.03190288,0.035559118,0.029742718,0.04479927,0.017015576,0.017802984,0.026279837,0.029587686,0.015939832,0.022720635,0.033795774,0.024177969,0.027921528,0.032275826,0.0689694,0.025190681,0.021567136,0.019068927,0.022567391,0.017777026,0.020437956,0.035511672,0.033076346,0.025419772,0.025936186,0.01843366,0.037565112,0.048892558,0.05458039
17,0.03912264,0.01603797,0.044144243,0.03937772,0.03111425,0.024967164,0.024421632,0.017980725,0.03131765,0.021046996,0.031383365,0.03164962,0.029295594,0.022786587,0.020586967,0.025876522,0.027850866,0.027851343,0.058422565,0.020550609,0.025088102,0.03687823,0.041271,0.03463483,0.05106774,0.020231783,0.021219105,0.030798256,0.034444243,0.019099683,0.026723802,0.0389435,0.028377056,0.03249705,0.037357748,0.07586044,0.029417813,0.025528163,0.022677362,0.026575983,0.021188319,0.02425602,0.040863425,0.038248092,0.02967763,0.030323446,0.022052675,0.043148905,0.05543068,0.06074223
18,0.07941061,0.03983113,0.08585128,0.078377396,0.06520775,0.05584094,0.054961592,0.043587774,0.0660229,0.04886061,0.06619403,0.06646222,0.061899126,0.051748633,0.047966987,0.05687487,0.060488045,0.05996442,0.109105766,0.047679722,0.05562496,0.07414177,0.0802792,0.07051605,0.09562275,0.047674507,0.049107224,0.065692544,0.070659876,0.045149565,0.058842123,0.0778555,0.061017156,0.06795862,0.07458982,0.132348,0.06278342,0.056349933,0.05139929,0.05850801,0.049064934,0.054406554,0.08047077,0.07649195,0.06351623,0.064018756,0.05023083,0.083253294,0.100583345,0.113395065
19,0.08597475,0.044053763,0.09244588,0.08464822,0.070812166,0.061153173,0.060215205,0.047934294,0.071344644,0.053721547,0.07186723,0.07199857,0.0673562,0.05654794,0.05277416,0.062003702,0.06580952,0.06512043,0.11771971,0.052385658,0.06071493,0.080204815,0.08642298,0.07642689,0.10186452,0.052199155,0.053886592,0.071376234,0.07672635,0.04965499,0.06414369,0.084115446,0.06636205,0.073669076,0.08053866,0.14058658,0.068011135,0.06133628,0.05643314,0.063746065,0.053714484,0.059412897,0.08668566,0.082300246,0.06888974,0.06954941,0.05517757,0.08942324,0.107491195,0.12236747
20,0.14224991,0.0687401,0.14150816,0.12570903,0.10606322,0.099488735,0.097979605,0.080391735,0.1061061,0.087314725,0.110269785,0.10580069,0.10052553,0.08623314,0.084614486,0.09398067,0.105122715,0.09835172,0.24114066,0.08205408,0.09285182,0.12273252,0.12609324,0.11198488,0.1439817,0.08596134,0.08514017,0.11359531,0.11481604,0.079824746,0.10822591,0.13354671,0.10238418,0.11131373,0.11707035,0.30436474,0.10309926,0.09395915,0.09026039,0.10139665,0.08535141,0.087338805,0.13340303,0.12054628,0.107339054,0.10530639,0.08354959,0.12596047,0.14879033,0.27815866
