,MAF,STAT1,KLF10,FOXO4,ZNF831,IRF7,ZNF182,YBX3,ZNF527,MEF2C,ZNF564,PBX4,HLX,SOX4,ZNF34,KLF4,ZNF283,MXI1,MAFF,MAFB,AEBP1,HLX,EGR3,KLF4,ZNF331,ZNF683,XBP1,BCL11B,FOSB,YBX3,FOS,NR4A2,HES4,ZNF10,PBX1,NRL,ZBTB18,FOXO4,CASZ1,IRF8,ZNF34,ZNF784,ZNF10,KLF5,ZNF778,ZNF778,ZNF597,HIC1,TRPS1,MAFF
0,0.32561743,0.2679204,0.29281318,0.46443236,0.34987515,0.41172737,0.42361724,0.51782036,0.3257592,0.24464336,0.5606782,0.34934157,0.37573656,0.37637323,0.6030823,0.5027685,0.3828194,0.5588525,0.38762015,0.5664903,0.595683,0.48575768,0.31622297,0.3152346,0.29745814,0.530103,0.4876317,0.2570212,0.23060489,0.41750914,0.38391018,0.5045888,0.52521676,0.44573194,0.38906285,0.57398254,0.6745742,0.5434026,0.35643157,0.47542718,0.44950515,0.4411034,0.45393974,0.40407467,0.2941337,0.549026,0.26997727,0.401886,0.4690554,0.3713223
1,0.19414389,0.15611684,0.20154428,0.37265623,0.32742566,0.43526053,0.33823168,0.32735854,0.21390864,0.35380185,0.57459307,0.13769323,0.39183003,0.44470993,0.6820891,0.2349596,0.27542442,0.7183775,0.40280813,0.48366562,0.64956623,0.6040598,0.24542874,0.386433,0.18909085,0.35130167,0.4733569,0.09439364,0.16353023,0.28137743,0.5217614,0.56824297,0.3809118,0.48803455,0.25730973,0.71083516,0.7180661,0.6602335,0.44727707,0.577034,0.41281486,0.26852387,0.5337789,0.21432632,0.16431874,0.5609453,0.15947306,0.6267636,0.5914763,0.37974545
2,0.13403803,0.15965292,0.16218197,0.40522826,0.41302615,0.42044514,0.23393849,0.55694485,0.13332343,0.13507485,0.49789572,0.4383767,0.53634423,0.27647674,0.6606471,0.63264096,0.18386579,0.61685956,0.2942025,0.74963313,0.55212986,0.52372766,0.15538669,0.11403042,0.18188694,0.67336017,0.10801354,0.06125042,0.049078703,0.31096148,0.4744377,0.7243418,0.2910074,0.5508169,0.25626308,0.5560587,0.9168545,0.6605718,0.4263334,0.3047138,0.3910878,0.62460303,0.24885872,0.058235377,0.08219254,0.62964857,0.16141212,0.28817564,0.2425923,0.13037968
3,0.34059095,0.33689317,0.37474015,0.44906455,0.42032203,0.41884267,0.47108445,0.54223114,0.3233177,0.29266104,0.47761905,0.47578514,0.47550935,0.38339585,0.560042,0.51392716,0.40835413,0.5772646,0.4123718,0.5357722,0.59942585,0.48597658,0.3879282,0.39792374,0.4172058,0.54593664,0.47437593,0.30822247,0.3137614,0.419748,0.41866517,0.5464432,0.53252727,0.46356902,0.39053988,0.5464601,0.6727165,0.56018054,0.43720022,0.44330916,0.4802551,0.4364599,0.45058307,0.37564707,0.31728438,0.5213764,0.321795,0.38173008,0.38265693,0.3806553
4,0.31260216,0.2528392,0.28955054,0.49573928,0.32298192,0.4360798,0.408398,0.5243166,0.30432877,0.22580874,0.61405283,0.33782986,0.34784085,0.36301768,0.6237887,0.5090522,0.37146086,0.57635784,0.4396704,0.55612946,0.6344516,0.5008737,0.30284017,0.31625873,0.28907228,0.5447224,0.52925277,0.22678539,0.20189732,0.39839622,0.34747994,0.50488335,0.53808916,0.40427527,0.39053777,0.5792559,0.65592575,0.56993806,0.33059528,0.46914223,0.41839117,0.46652046,0.4681248,0.37663284,0.2834527,0.54868674,0.25834495,0.40199587,0.49198377,0.33978254
5,0.32120627,0.274635,0.31027693,0.48953325,0.33952272,0.42733943,0.4220578,0.53003573,0.33472478,0.25292653,0.58916795,0.3530545,0.3533666,0.38120812,0.60291916,0.51908356,0.40672168,0.5763838,0.43303236,0.5501486,0.61927235,0.4910993,0.3464744,0.32777137,0.31390953,0.5405378,0.5145551,0.25603193,0.233479,0.42018685,0.35605624,0.49893278,0.54184693,0.42692494,0.39360502,0.5772507,0.64846253,0.55794805,0.33600742,0.4420479,0.42639828,0.4287986,0.45813546,0.37367642,0.2949133,0.5300192,0.28702918,0.39579198,0.49391773,0.35949856
6,0.40394655,0.3487782,0.37171695,0.46532875,0.44602495,0.46639195,0.4528598,0.46763396,0.42859453,0.3824293,0.4933285,0.4253742,0.4624061,0.427677,0.5695378,0.4424764,0.40233132,0.543602,0.4244575,0.498345,0.50963545,0.49105513,0.44521976,0.46751982,0.38189578,0.47171277,0.4589275,0.37690955,0.34820884,0.43281502,0.51176023,0.50092036,0.4906018,0.5051978,0.41684234,0.56736225,0.5499844,0.503279,0.40681964,0.44117966,0.4999609,0.44107044,0.49749845,0.4113411,0.3501032,0.48521295,0.36058044,0.41448155,0.44378212,0.42059517
7,0.30926633,0.29863936,0.35984182,0.39880043,0.39446545,0.3917885,0.43419194,0.5813702,0.42000186,0.3245675,0.4911296,0.43304488,0.46781027,0.40167838,0.5515966,0.46993172,0.41292387,0.5538683,0.37277263,0.4848465,0.5747134,0.49293232,0.31423712,0.37133855,0.3608244,0.45068365,0.39723915,0.27194363,0.25389746,0.4375532,0.41258004,0.5017954,0.45045877,0.5097686,0.41183022,0.5350408,0.72323936,0.55295426,0.38252416,0.43143094,0.4896015,0.41033882,0.38215628,0.38953695,0.28523785,0.5207959,0.24627158,0.43349317,0.3783432,0.39961937
8,0.1121082,0.17125183,0.25703782,0.3996569,0.20713288,0.4366884,0.36728972,0.62794983,0.09752354,0.1698623,0.6099678,0.22781125,0.45443946,0.48834175,0.6806949,0.25404164,0.36327082,0.8175533,0.3651806,0.505533,0.4943519,0.42001367,0.21277326,0.3468036,0.24929357,0.36096358,0.5648591,0.086664975,0.14234456,0.32645065,0.37552595,0.5694022,0.29762763,0.18841675,0.54327714,0.66082674,0.7943083,0.39097458,0.44244602,0.35637468,0.4304177,0.3317235,0.47768503,0.18518436,0.19501412,0.6929126,0.2208941,0.33168152,0.28651825,0.2636032
9,0.27614534,0.2719903,0.27734137,0.44921952,0.34990406,0.46023902,0.42118126,0.45288077,0.32568333,0.35901338,0.60900545,0.33752,0.48881727,0.41366217,0.69864607,0.48064932,0.42810526,0.57033545,0.48129216,0.4878437,0.5324782,0.4307141,0.30419165,0.43857294,0.27325907,0.46175668,0.5457201,0.23932874,0.37351847,0.32926488,0.41681284,0.43647304,0.5036388,0.4621375,0.45099366,0.5577102,0.6473965,0.52343786,0.35099822,0.41699964,0.4102741,0.42930567,0.51279855,0.24852443,0.29147685,0.5380719,0.3317231,0.28638268,0.47847787,0.33757836
10,0.22272936,0.19632557,0.3766282,0.2852077,0.44673952,0.4257532,0.5741024,0.49386087,0.33402804,0.3507741,0.5588382,0.32319787,0.4786813,0.256203,0.5508204,0.3120773,0.3396677,0.66484445,0.34438545,0.63574064,0.47318372,0.57809,0.27543002,0.33942318,0.29972163,0.4038008,0.42397758,0.18926415,0.20446798,0.4171416,0.43256545,0.5859668,0.46813467,0.47068745,0.36186874,0.51147074,0.7764266,0.5678196,0.41407436,0.47333205,0.43442732,0.52113473,0.48182508,0.36948973,0.23292235,0.6752661,0.20719656,0.45717463,0.30013943,0.49079785
11,0.32898575,0.25039032,0.3188676,0.48290685,0.3354705,0.40262964,0.45629704,0.6213777,0.27768612,0.21260098,0.7001618,0.3209558,0.38860914,0.33245218,0.6077824,0.5547799,0.43290848,0.5690436,0.48306188,0.54895306,0.6444959,0.4426752,0.27606064,0.29018527,0.36305663,0.519857,0.5412615,0.22707543,0.20928434,0.39066565,0.31862515,0.49983284,0.5578746,0.37546462,0.3896727,0.5249391,0.7300778,0.61698395,0.39080018,0.46423462,0.4728443,0.5550214,0.44528008,0.40673056,0.2555334,0.5695783,0.3365317,0.34378695,0.4860565,0.347745
12,0.14134291,0.3098433,0.38954276,0.40444395,0.32071015,0.45251468,0.2695308,0.5785897,0.17858136,0.2463586,0.5586328,0.32178006,0.5131713,0.3293442,0.6282532,0.3384745,0.43393928,0.68889827,0.3337347,0.48184654,0.5071453,0.43877235,0.28770414,0.34650242,0.21238226,0.43636987,0.4112735,0.111634165,0.20100218,0.31245145,0.3732578,0.5633003,0.4599157,0.3612401,0.4746155,0.6224308,0.78703225,0.48035666,0.5102821,0.40242866,0.38615468,0.36812693,0.46454257,0.24149066,0.26349455,0.6839967,0.15937567,0.39482084,0.24348292,0.289895
13,0.26985818,0.2897727,0.28367037,0.43574998,0.29555684,0.38626105,0.4723718,0.55005455,0.29814386,0.21397874,0.5717138,0.41759923,0.4600834,0.33076334,0.6703331,0.5483907,0.36312205,0.56151396,0.41327673,0.51962125,0.5977787,0.46845454,0.2759667,0.330118,0.30909592,0.554226,0.5519324,0.20404115,0.26518533,0.3118959,0.35298407,0.51508665,0.49410778,0.41638124,0.3987732,0.51468533,0.74108493,0.58989644,0.38998926,0.46334144,0.45555577,0.45038643,0.43177336,0.35332304,0.2561889,0.5624271,0.22526142,0.3420837,0.3916004,0.32624418
14,0.25698495,0.22106594,0.30093434,0.49469468,0.30464453,0.5189316,0.35915485,0.44833523,0.3396784,0.28331375,0.560656,0.33844334,0.36685404,0.35318625,0.7099728,0.49141148,0.45120716,0.5981158,0.477699,0.5651609,0.60116374,0.3756986,0.3875796,0.3959782,0.1633501,0.43960816,0.42179593,0.19652796,0.21102637,0.29505122,0.43901604,0.48850283,0.5314814,0.54690313,0.40890804,0.5759721,0.7354471,0.4972715,0.42097348,0.4722175,0.42650455,0.32345447,0.48468542,0.26285347,0.33564627,0.5862583,0.2769289,0.26451266,0.3803452,0.36653584
15,0.13956955,0.16848525,0.29861325,0.40882313,0.2536326,0.37817222,0.2637626,0.39860544,0.1869995,0.322909,0.8480698,0.20759597,0.71401584,0.2928928,0.80804646,0.5265014,0.3070541,0.4212342,0.6859509,0.6622844,0.68321204,0.32327917,0.23358527,0.39912933,0.26129508,0.49864465,0.59866375,0.058487177,0.2519629,0.13513783,0.34339243,0.50656766,0.28723186,0.19476041,0.3855909,0.56977546,0.7242211,0.5294945,0.5845114,0.43874025,0.35746747,0.57838863,0.4488153,0.08364439,0.13705102,0.7348415,0.26577175,0.18027037,0.47783488,0.11104047
16,0.2247107,0.20972201,0.29627985,0.41209278,0.47920257,0.5002158,0.4669704,0.4311609,0.27151757,0.512173,0.5332197,0.33738565,0.5130855,0.5603129,0.61896193,0.3892173,0.4618812,0.6121301,0.47573358,0.57467157,0.534382,0.51834685,0.45101875,0.46899283,0.3066135,0.31522208,0.33075505,0.26731908,0.2182365,0.53530914,0.5284164,0.5331206,0.5232629,0.37169114,0.46981144,0.4943826,0.5148379,0.53342336,0.54772335,0.49186525,0.45722374,0.3715105,0.44466597,0.34150618,0.18344057,0.5493713,0.46351883,0.39870808,0.53038,0.40797746
17,0.11767784,0.14758894,0.23693264,0.30236563,0.34707606,0.45303228,0.42864478,0.5578016,0.21943316,0.4885794,0.60129756,0.18198207,0.4962654,0.7880338,0.6089418,0.30540425,0.3813805,0.7781409,0.3878559,0.58040285,0.4913945,0.5077371,0.2727424,0.40408286,0.20762607,0.26503438,0.2684874,0.15501475,0.13195992,0.46681854,0.43023127,0.42830312,0.3643564,0.33233055,0.5229287,0.5256671,0.65286547,0.426406,0.51855624,0.42139962,0.34056506,0.25766206,0.48860383,0.17042902,0.11750001,0.6953576,0.35055166,0.25770772,0.40546128,0.24298552
18,0.24248108,0.1928648,0.28203055,0.39907295,0.44831654,0.5000296,0.46233886,0.45484996,0.30405864,0.47241464,0.5895313,0.2973274,0.49911386,0.54271066,0.6198786,0.42493588,0.46571296,0.5582746,0.5253235,0.631771,0.6160237,0.51392215,0.41377765,0.43654534,0.28130773,0.35448548,0.35181773,0.24262467,0.20400271,0.58239883,0.4731372,0.50770026,0.5238446,0.3368287,0.43897414,0.5319371,0.50836134,0.51973224,0.4741063,0.5311393,0.41691774,0.43199018,0.41549402,0.3576068,0.20507288,0.5364197,0.4370672,0.41658902,0.5633399,0.32468927
19,0.16630346,0.11828625,0.119499505,0.4729731,0.2566592,0.44437078,0.40823713,0.5587509,0.16126531,0.18847686,0.61685187,0.07350913,0.41579956,0.63659334,0.7295052,0.33601987,0.22156793,0.7888119,0.31378284,0.7411858,0.68718505,0.69025946,0.18846634,0.25776643,0.18658462,0.35111958,0.15950093,0.1566669,0.14188075,0.23306683,0.56895643,0.63346905,0.506586,0.5419514,0.41703928,0.56328756,0.65829396,0.67512184,0.71724296,0.6633315,0.6208743,0.15342775,0.5125699,0.15421304,0.11500716,0.733931,0.21925688,0.55054104,0.5361293,0.26707673
20,0.27811757,0.32905978,0.2846603,0.36727393,0.32350075,0.41353804,0.50076526,0.48320436,0.3507491,0.3227568,0.6073047,0.38181892,0.5266783,0.45648655,0.66133845,0.39171612,0.35973376,0.51873815,0.44630694,0.48824495,0.5341423,0.46503884,0.25726378,0.33172557,0.28639698,0.44742623,0.49461865,0.21320349,0.34079146,0.29891646,0.3406641,0.38254276,0.44486445,0.4577535,0.4051519,0.529446,0.68475276,0.50739413,0.43866137,0.45520616,0.46352518,0.482109,0.49767935,0.28693384,0.29632342,0.60742074,0.29167557,0.3680842,0.3959303,0.36002833
21,0.31433862,0.23155537,0.35318926,0.47712412,0.48650986,0.39088485,0.37965062,0.53500056,0.321806,0.40832335,0.54359215,0.43061644,0.59735584,0.4079374,0.6778318,0.43343532,0.4456878,0.6308306,0.42343533,0.49095657,0.5545915,0.4476554,0.3236606,0.31878933,0.35454494,0.31385633,0.40794772,0.17613783,0.2159532,0.38558903,0.3266582,0.5523628,0.35597932,0.4489184,0.39837646,0.488834,0.7384815,0.57951385,0.45824373,0.5048134,0.5847994,0.38024336,0.4552727,0.41049922,0.20157453,0.5696287,0.29539442,0.39650783,0.40250808,0.378029
22,0.32086033,0.27616045,0.30763122,0.45459217,0.35720825,0.40493906,0.43240714,0.5273833,0.34005126,0.2550977,0.5572778,0.3466131,0.36123687,0.3921994,0.5874203,0.50211024,0.3931675,0.5583959,0.39513713,0.5569734,0.5966547,0.49720183,0.32356286,0.31729215,0.30577344,0.53873307,0.4908688,0.26846927,0.22904545,0.4319384,0.36759502,0.5111425,0.5200824,0.4433479,0.3978421,0.5660276,0.671197,0.5456509,0.3518783,0.46440652,0.44575858,0.42866737,0.4583784,0.3933352,0.29621992,0.56282187,0.2766205,0.41176426,0.48000604,0.37260145
